"ID","YEAR","DATE","ROAD_CLASS","LATITUDE","LONGITUDE","WEATHER","ROAD_CONDITION","INJURY","SPEEDING","ALCOHOL"
4123246,2007,"2007-01-05 05:00","Major Arterial",43.695245,-79.42319,"Clear","Dry","None",FALSE,FALSE
4273982,2007,"2007-02-28 05:00","Major Arterial",43.669045,-79.59139,"Clear","Dry","None",FALSE,FALSE
4166076,2007,"2007-03-27 04:00","Major Arterial",43.671545,-79.39029,"Clear","Dry","Major",FALSE,FALSE
4161168,2007,"2007-04-22 04:00","Major Arterial",43.778746,-79.307887,"Clear","Dry","None",TRUE,FALSE
4143558,2007,"2007-02-06 05:00","Minor Arterial",43.636145,-79.47449,"Clear","Slush","Major",FALSE,FALSE
4123247,2007,"2007-01-05 05:00","Major Arterial",43.695245,-79.42319,"Clear","Dry","Minor",FALSE,FALSE
4123248,2007,"2007-01-05 05:00","Major Arterial",43.695245,-79.42319,"Clear","Dry","Major",FALSE,FALSE
4273983,2007,"2007-02-28 05:00","Major Arterial",43.669045,-79.59139,"Clear","Dry","Major",FALSE,FALSE
4159970,2007,"2007-03-27 04:00","Local",43.661445,-79.40069,"Clear","Dry","None",FALSE,FALSE
4123271,2007,"2007-01-05 05:00","Major Arterial",43.678945,-79.55169,"Clear","Dry","Major",FALSE,FALSE
4143559,2007,"2007-02-06 05:00","Minor Arterial",43.636145,-79.47449,"Clear","Slush","None",FALSE,FALSE
4143560,2007,"2007-02-06 05:00","Minor Arterial",43.636145,-79.47449,"Clear","Slush","Minor",FALSE,FALSE
4123272,2007,"2007-01-05 05:00","Major Arterial",43.678945,-79.55169,"Clear","Dry","None",FALSE,FALSE
4151393,2007,"2007-02-28 05:00","Major Arterial",43.726745,-79.55209,"Clear","Dry","None",FALSE,FALSE
4159971,2007,"2007-03-27 04:00","Local",43.661445,-79.40069,"Clear","Dry","Major",FALSE,FALSE
4151394,2007,"2007-02-28 05:00","Major Arterial",43.726745,-79.55209,"Clear","Dry","Major",FALSE,FALSE
4130569,2007,"2007-02-06 05:00","Major Arterial",43.630645,-79.42739,"Clear","Loose Snow","Major",FALSE,FALSE
4123273,2007,"2007-01-05 05:00","Major Arterial",43.678945,-79.55169,"Clear","Dry","None",FALSE,FALSE
4151999,2007,"2007-03-28 04:00","Local",43.772445,-79.37729,"Clear","Dry","Major",FALSE,FALSE
4151395,2007,"2007-02-28 05:00","Major Arterial",43.726745,-79.55209,"Clear","Dry","Minimal",FALSE,FALSE
4130570,2007,"2007-02-06 05:00","Major Arterial",43.630645,-79.42739,"Clear","Loose Snow","None",FALSE,FALSE
4123365,2007,"2007-01-06 05:00","Major Arterial",43.764045,-79.20559,"Rain","Wet","None",FALSE,FALSE
4168858,2007,"2007-04-22 04:00","Major Arterial",43.666345,-79.46489,"Clear","Dry","Major",TRUE,TRUE
4123366,2007,"2007-01-06 05:00","Major Arterial",43.764045,-79.20559,"Rain","Wet","Minor",FALSE,FALSE
4168859,2007,"2007-04-22 04:00","Major Arterial",43.666345,-79.46489,"Clear","Dry","Minimal",TRUE,TRUE
4151396,2007,"2007-02-28 05:00","Major Arterial",43.726745,-79.55209,"Clear","Dry","Major",FALSE,FALSE
4144900,2007,"2007-02-06 05:00","Major Arterial",43.798045,-79.33359,"Clear","Dry","None",FALSE,FALSE
4152000,2007,"2007-03-28 04:00","Local",43.772445,-79.37729,"Clear","Dry","None",FALSE,FALSE
4151397,2007,"2007-02-28 05:00","Major Arterial",43.726745,-79.55209,"Clear","Dry","Minimal",FALSE,FALSE
4151398,2007,"2007-02-28 05:00","Major Arterial",43.726745,-79.55209,"Clear","Dry","None",FALSE,FALSE
4168860,2007,"2007-04-22 04:00","Major Arterial",43.666345,-79.46489,"Clear","Dry","None",TRUE,TRUE
4144901,2007,"2007-02-06 05:00","Major Arterial",43.798045,-79.33359,"Clear","Dry","None",FALSE,FALSE
4152001,2007,"2007-03-28 04:00","Local",43.772445,-79.37729,"Clear","Dry","None",FALSE,FALSE
4123367,2007,"2007-01-06 05:00","Major Arterial",43.764045,-79.20559,"Rain","Wet","Major",FALSE,FALSE
4151777,2007,"2007-03-01 05:00","Major Arterial",43.699645,-79.33769,"Snow","Loose Snow","None",TRUE,FALSE
4152002,2007,"2007-03-28 04:00","Local",43.772445,-79.37729,"Clear","Dry","None",FALSE,FALSE
4123368,2007,"2007-01-06 05:00","Major Arterial",43.764045,-79.20559,"Rain","Wet","Minimal",FALSE,FALSE
4168861,2007,"2007-04-22 04:00","Major Arterial",43.666345,-79.46489,"Clear","Dry","None",TRUE,TRUE
4151778,2007,"2007-03-01 05:00","Major Arterial",43.699645,-79.33769,"Snow","Loose Snow","Major",TRUE,FALSE
4144902,2007,"2007-02-06 05:00","Major Arterial",43.798045,-79.33359,"Clear","Dry","Major",FALSE,FALSE
